subject,object,predicates,filtered_preds
Footbridge,Crossing,"['assessed', 'authorized', 'try', 'changed']","['assessed', 'authorized', 'try', 'changed']"
Woman,Overpass,"['driving', 'walking']","['driving', 'walking']"
Car,Crossing,"['learned', 'navigating', 'stop', 'blocking', 'let', 'getting', 'thank', 'happens', 'cut', 'closed', 'waiting', 'giving', 'knocked', 'parked', 'crashes', 'reduce', 'standing', 'waving', 'obey', 'asshole', 'controlled', 'hits', 'crossing', 'help', 'towed', 'jumping', 'passing', 'kills', 'avoided', 'driving', 'terrifying', 'crossed', 'stood', 'crashed', 'checking', 'appreciated', 'jump', 'go', 'heading', 'goes', 'block', 'leaping', 'going', 'stops', 'designated', 'reversed']",['crashed']
Driver,Lights,"['sentenced', 'has', 'attacked', 'get', 'looks', 'killed', 'work', 'stopped', 'flashing', 'left', 'got', 'walked', 'replaced', 'understands', 've', 'hits', 'driven', 'inherit', 'running', 'crashes']","['look', 'flashing', 'got', 'driven', 'walked', 'killed', 'understands', 'replaced', 'sentenced', 'inherit']"
Tree,Crossing,"['leave', 'created', 'build']","['leave', 'created', 'build']"
Man,Connection,"['killed', 'say', 'arrested', 'files', 'read', 'run', 'injured', 'charged', 'suffered', 'quoting', 'driven', 'following', 'suspected', 'said', 'left', 'hit', 'involving', 'crossing', 'questioned', 'lay']","['said', 'charged', 'read', 'questioned', 'involving', 'driven', 'run', 'quoting', 'file', 'lay']"
Bike,Path,"['surrounding', 'existing', 'include', 'remain', 'build', 'connects', 'forgotten', 'walk', 'injured', 'walking', 'ride', 'provides', 'motorized', 'dividing', 'improve', 'connecting', 'crossing', 'arise', 'checked', 'know', 'strolling', 'see', 'took', 'approved', 'circulate', 'shared', 'supercede', 'biking', 'stretches', 'open', 'create', 'waiting', 'finishing', 'joins', 'separate', 'become', 'shout', 'add', 'richmond', 'completed', 'ridden', 'go', 'hailing', 'adding']","['walk', 'walking', 'ride']"
Construction,Ramp,"['begin', 'travel', 'connecting', 'use']","['begin', 'travel', 'connecting', 'use']"
Route,Square,['walk'],['walk']
Car,Ride,"['spill', 'relaying', 'stops']","['spill', 'relaying', 'stops']"
City,Trail,"['breaks', 'extends', 'paint', 'evolve', 'going', 'unveils', 'span', 'see', 'provides', 'build', 'curbed', 'needed', 'connects']","['connects', 'span', 'unveils', 'see', 'evolve', 'curbed', 'provides', 'extends', 'build', 'break']"
Woman,Connection,"['occurred', 'stabbing', 'run', 'helping', 'crossing', 'turned', 'said', 'coming', 'injured', 'killed']","['occurred', 'said', 'helping', 'crossing', 'stabbing', 'run', 'injured', 'killed', 'turned', 'coming']"
Accident,Eastbound,"['involving', 'reopens', 'blocked', 'closed', 'approaching', 'struck', 'avoid']","['approaching', 'involving', 'struck', 'avoid', 'closed', 'reopens', 'blocked']"
Road,Path,"['speeding', 'ask', 'share', 'forcing', 'turn', 'shared', 'go', 'wait', 'designed', 'sit', 'said', 'cut', 'taking', 'crossing', 'closed', 'blocking']","['said', 'taking', 'sit', 'wait', 'ask', 'crossing', 'forcing', 'shared', 'cut', 'closed']"
Bicycle,Ride,"['take', 'walk', 'do', 'said', 'spotted', 'learn', 'needs']","['said', 'need', 'spotted', 'learn', 'walk', 'take', 'do']"
Mile,Trail,"['make', 'runs', 'existing']","['make', 'runs', 'existing']"
Vehicle,Trail,"['crash', 'open']","['crash', 'open']"
Space,Path,"['shared', 'used', 'use']","['shared', 'used', 'use']"
Bus,Wheelchair,"['reported', 'hit', 'calming']","['reported', 'hit', 'calming']"
Ramp,Crossing,['crossing'],['crossing']
Woman,Ride,"['killed', 'bounced', 'stick']","['killed', 'bounced', 'stick']"
Bike,Line,"['connect', 'shared']","['connect', 'shared']"
Construction,Pathway,"['begins', 'make', 'connects', 'repair', 'funded']","['begins', 'make', 'connects', 'repair', 'funded']"
Roundabout,Crossing,"['defeats', 'goes', 'cont', 'park', 'drives']","['defeats', 'goes', 'cont', 'park', 'drives']"
City,Precinct,"['develop', 'has', 'unveils', 'seemly']","['develop', 'has', 'unveils', 'seemly']"
City,Path,"['do', 'look', 'according', 'learn', 'paints', 'interconnected', 'closed', 'celebrated', 'folded', 'convert', 'connect', 'build']","['according', 'look', 'folded', 'convert', 'learn', 'paint', 'celebrated', 'closed', 'build', 'connect']"
Block,Ride,"['exhibiting', 'happens']","['exhibiting', 'happens']"
Cyclist,Precinct,"['riding', 'bollocking', 'seemed', 'had']","['riding', 'bollocking', 'seemed', 'had']"
Foot,Trail,"['approved', 'ez', 'replaced', 'suspended']","['approved', 'ez', 'replaced', 'suspended']"
Traffic,Navigation,"['pulled', 'switch']","['pulled', 'switch']"
Walking,Pathway,['ride'],['ride']
